names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Carden Traditional School of Glendale,4744 W. Grovers Ave.,"Glendale, AZ 85308",602-439-5026,2001,128,K-8,Open,"Provides students with a sound foundation of knowledge, skills and the ability to apply them to all learning opportunities.",-112.162121,33.648502
Carden Traditional School of Surprise,15688 W. Acoma Rd.,"Surprise, AZ 85379",623-556-2179,2003,479,K-9,Open,To provide students with a sound foundation of knowledge and skills and the ability to apply them to all learning opportunities. Provides IB curriculum to classes by agny,-112.3984033,33.6168933
Career Success - Glendale Campus,3816 N. 27th Ave.,"Phoenix, AZ 85017",602-285-5525,2003,143,12-Sep,Open,"Activates student empowerment (ownership through decision-making), career focusing and activity-based strategies that address self-worth, goal-setting, job readiness and life-long learning.",-112.1170643,33.4929164
Career Success - Mesa Campus,1455 S. Stapley Dr.,"Mesa, AZ 85204",480-833-7470,,,12-Sep,Open,,-111.804364,33.387709
Career Success - North Phoenix,2325 E. Bell Road,"Phoenix, AZ 85022",602-687-8282,2002,,12-Sep,Open,,-112.0322343,33.6404108
Career Success - Robert L. Duffy High School,2550 E. Jefferson St.,"Pheonix, AZ 85034",602-393-4200,2010,500,12-Sep,Open,,-112.0267348,33.4472289
Career Success - Sage Campus,3120 N. 32nd St.,"Phoenix, AZ 85018",602-955-0355,1999,215,K-8,Open,"Activates student empowerment (ownership through decision-making), career focusing and activity-based strategies that address self-worth, goal-setting, job readiness and life-long learning.",-112.0129536,33.4834818
Career Success - Woods Campus,3160 N. 33rd Ave,"Phoenix, AZ 85017",602-278-5552,,,12-Sep,Open,,-112.1292291,33.4846426
Career Success High School - Cave Creek,6424 E. Cave Creek Road,"Cave Creek, AZ 85331",480-575-0075,2002,85,12-Sep,Open,"Activates student empowerment (ownership through decision-making), career focusing and activity-based strategies that address self-worth, goal-setting, job readiness and life-long learning.",-111.942289,33.832806
Carpe Diem E-Learning Community,3777 W. 22nd Ln.,"Yuma, AZ 85364",928-317-3113,2001,200,12-Jun,Open,Academic preparation for a post-secondary education.,-114.6688609,32.6861287
Casa Verde High School,1362 N. Casa Grande Ave.,"Casa Grande, AZ 85222",520-876-0661,2001,300,12-Sep,Open,Dedicated to creating a challenging and nurturing environment in which all students have educational and enrichment opportunities to reach their full potential.,-111.7486732,32.8865105
CASY Co,9350 E. Cactus Rd.,"Scottsdale, AZ 85260",480-661-1930,1996,45,K-1,Open,"Offers an individualized, integrated, hands-on curriculum which stresses high academic achievement and the performing arts. Foundation in basic skills enhanced by a broad-based curriculum.",-111.879676,33.597573
CASY Country Day School - Jenan Campus,7214 E. Jenan Dr.,"Scottsdale, AZ 85260",480-951-3190,1997,125,PreK-5,Open,"Offers an individualized, integrated, hands-on curriculum which stresses high academic achievement and the performing arts. Foundation in basic skills enhanced by a broad-based curriculum.",-111.925624,33.5935569
Caurus Academy,41900 N. 42nd Ave.,"Anthem, AZ 85086",623-551-5083,2004,299,K-8,Open,"Academic, occupational and personal life skills of all students based on community collaboration, parental involvement, staff commitment and role-modeling.",-112.1495698,33.9134434
Center for Academic Success - Douglas 9-12 Campus,510 G Ave.,"Douglas, AZ 85607",520-364-2616,1998,125,12-Sep,Open,"Educates and serves a large, culturally diverse rural community focusing on youth-to-work in a multi-media, high technological environment.",-109.5545927,31.3393449
Center for Academic Success - Douglas K-8 Campus,1415 F Ave.,"Douglas, AZ 85607-2434",520-805-1558,2001,125,K-8,Open,Provides students with the essential knowledge and skills needed for a solid early grade school education.,-109.5522,31.349334
Center for Academic Success - Sierra Vista K-12,900 Carmelita Dr.,"Sierra Vista, AZ 85635",520-458-4200,1996,400,K-12,Open,"Educates and serves a large, culturally diverse rural community, and focuses on basic skills and responsible citizenship.",-110.290178,31.557625
Center for Educational Excellence,1700 E. Elliott,"Tempe, AZ 85284",480-632-1940,1997,360,K-8,Open,Allows each student to achieve maximum growth in educational and life skills by providing a safe and positive environment that allows each student to progress at his/her own pace.,-111.912932,33.3501369
Challenge Charter School,5801 W. Greenbriar Dr.,"Glendale, AZ 85308",602-938-5411,1996,630,K-6,Open,"Official Core Knowledge school. Innovative, hands-on training center focused on academic core subjects. Emphasis on self-reliance and self-motivation.",-112.183925,33.642605
Challenger Basic School,1315 N. Greenfield Rd.,"Gilbert, AZ 85234",480-830-1751,2002,200,K-6,Open,A quality education in every area of the curriculum. Implements the Spalding reading method as well as an enhanced back-to-basics approach to learning.,-111.738488,33.374181
Champion School - North Campus,1313 N. 2nd St,"Phoenix, AZ 85040",602-341-6527,,,8-Mar,Open,,-112.070662,33.46315
Champion School-South Mountain Campus,449 E. Southern Ave,"Phoenix, AZ 85040",602-341-6527,,,K-2,Open,,-112.067745,33.39153
Chandler Academy of Arts and Technology,3400 N. Dobson Rd.,"Chandler, AZ 85224",480-899-6600,1999,35,K-8,Open,Prepares elementary students for successful high school careers.,-111.877663,33.355182
Chandler Preparatory Academy,1951 N. Alma School Rd.,"Chandler, AZ 85224",480-855-5410,2005,404,11-Jun,Open,Traditional liberal arts and sciences. Will expand to grades 6-12.,-111.8590579,33.3338467
Charter for Excellence,19287 N Porter Rd,"Maricopa, AZ 85238",480-262-8522,2007,530,K-6,Open,,-112.013101,33.055225
Chester Newton Charter and Montessori School,30 Hwy. 260 E.,"Camp Verde, AZ 86322",928-567-2363,1997,150,PreK-9,Open,"A quality Montessori educational program as an alternative to public school elementary education. Offers viable intellectual growth for all students, involving parents in special student-related programs.",-111.8538097,34.5540867
Chester Newton Charter and Montessori School - Middle School,30 Hwy. 260 E.,"Camp Verde, AZ 86322",928-567-2363,2000,30,8-Jun,Open,"A quality Montessori educational program as an alternative to public school elementary education. Offers viable intellectual growth for all students, involving parents in special student-related programs.",-111.8538097,34.5540867
Children First Academy - Phoenix,374 N. 6th Ave.,"Phoenix, AZ 85003",602-712-0500,2008,300,K-6,Open,"Educates and provides essential services to children who are homeless, underprivileged or seeking a choice in academic options.",-112.0813754,33.4539922
Children First Academy - Tempe,1938 E. Apache Blvd.,"Tempe, AZ 85281",480-557-6211,2008,175,K-6,Open,"Educates and provides essential services to children who are homeless, underprivileged or seeking a choice in academic options.",-111.902107,33.415776
Children Reaching for the Sky Preparatory,1844 S. Alvernon,"Tucson, AZ 85711",520-790-8400,2001,300,PreK-6,Open,"Challenges students with a multi-cultural traditional education, emphasizing cultural and ethnic differences through historical appreciation and educational advancement.",-110.9095973,32.2006305
Childrens Success Academy,925 E. Bilby Road,"Tucson, AZ 85706",520-799-8403,2000,96,K-5,Open,Provides a positive behavior approach based on the nurtured heart approach and the virtues project.,-110.9575421,32.1415291
City High School,48 E. Pennington St.,"Tucson, AZ 85701",520-623-7223,2004,176,12-Sep,Open,In-depth project-based instruction. Emphasis on connecting students to the curriculum and community. Service learning component.,-110.970598,32.223287
Civano Charter School,10673 E. Mira Ln.,"Tucson, AZ 85747",520-731-3466,1996,66,K-5,Open,"Enhances and supports the individual talents of each child by providing a local option for those parents who would like to send their children to a smaller, non-traditional school.",-110.765105,32.148553
Compass High School,8250 E. 22nd St.,"Tucson, AZ 85710",520-296-4070,2001,300,12-Sep,Open,"Individualized, self-paced program that recognizes the uniqueness of each student in a supportive and accepting environment.",-110.815824,32.205579
Concordia Charter School,142 N. Date St.,"Mesa, AZ 85201",480-461-0555,2007,57,K-3,Open,Based on Core Knowledge Sequence; universal knowledge for schools.,-111.844896,33.417973
Coolidge High Success Center School,450 N. Arizona Blvd.,"Coolidge, AZ 85228",520-723-2112,1998,82,12-Sep,Open,"Core curriculum provided in a safe, nurturing environment which ensures that all students attain their maximum potential academically, socially, culturally, physically, ethically and emotionally.",-111.5240617,32.9813139
Copper Canyon Academy,7785 W. Peoria Ave.,"Peoria, AZ 85345",623-930-1734,1995,281,K-12,Open,"Start-up program that serves dropouts, at-risk youth and their families. Provides and administers holistic education and social services to youth and their families in order to acquire skills necessary to live productive and responsible lives.",-112.227396,33.580504
Cornerstone Charter School,7107 N. Black Canyon Hwy.,"Phoenix, AZ 85021",602-595-2198,2000,200,12-Sep,Open,"Cultivates character, self-direction, academic achievement and critical thinking. Offers an alternative environment to make-up deficient credit history and progress towards graduation in a highly concentrated, efficient manner.",-112.1119834,33.5412673
Country Gardens Charter School,6313 W. Southern Ave.,"Laveen, AZ 85339",602-237-3741,2000,360,K-12,Open,"Nurtures academic, social and emotional success for all students to prepare them for a lifetime of learning as productive, well-rounded citizens.",-112.194657,33.391245
Crestview College Preparatory High School,2616 E. Greenway Road,"Phoenix, AZ 85032-4320",602-765-8470,1996,250,12-Sep,Open,"Offers opportunity to accelerate graduation or catch up through extended school day, free tuition and option for college preparatory program.",-112.025878,33.626823
Crittenton Youth Academy,715 W. Mariposa St.,"Phoenix, AZ 85013",602-288-4523,1997,220,12-Jul,Open,"Focuses on the development of intellectual, democratic, moral and social issues.",-112.083404,33.508045
Crown Charter School,12450 Maryland Ave.,"Litchfield Park, AZ 85340",623-535-9300,2001,225,K-6,Open,School is known for high-energy classroom participation. Academic program emphasizes strong basic skills attainment.,-112.327269,33.53042
D.W. Higgins Institute,1805 E. Elliot Road Ste 112,"Tempe, AZ 85284",480-413-0829,1998,104,K-8,Open,"Instructional program of communication, science, and the arts in a technology-based environment providing all children with the opportunity for high scholastic achievement.",-111.9102573,33.3478272
Davis Education Center,5660 S. 12th Ave.,"Tucson, AZ 85706",520-722-8130,1995,250,K-8,Open,Serves at-risk populations of adolescents within southern Arizona. Incorporates the performing and visual arts into curriculum.,-110.978765,32.1495
Day Star Academy,2030 N. 36th St.,"Phoenix, AZ 85008",602-275-3852,2001,105,K-8,Open,"Flexible, coordinated and individualized program of study designed to promote competence in core academic subjects while being delivered in an online environment.",-112.00423,33.4712787
Deer Valley Academy,18424 N. 51st Ave,"Phoenix, AZ 85027",602-467-6874,2001,175,12-Sep,Open,"School is committed to graduating students by providing the highest quality academic experiences in a safe, technologically-rich environment.",-112.166524,33.635926
Desert Heights Charter School,5821 W. Beverly Ln.,"Glendale, AZ 85306",602-896-2900,2000,350,PreK-8,Open,"Highly qualified teachers in a warm environment for disciplined students, in preparation for a successful high school career.",-112.1857652,33.6335864
Desert Hills High School,1515 S. Val Vista,"Gilbert, AZ 85296",480-813-1151,1995,500,12-Sep,Open,"Offers AP courses and dual enrollment, free tuition, National Honor Society, other academic and service-oriented organizations and flexible scheduling.",-111.7555109,33.3232507
Desert Marigold School,6210 S. 28th St.,"Phoenix, AZ 85042",602-243-6909,2002,200,K-8,Open,"Disciplined creativity, wonder, respect for nature and human existence.",-112.0213727,33.3911682
Desert Mosaic School,5757 W. Ajo Way,"Tucson, AZ 85735",520-578-2022,2000,181,K-12,Open,"Environment where bilingual, bicultural and multidimensional literacy in science, math, technology, history, art and literature is achieved.",-111.342665,32.060897
